Plate,Type,VIN,Rego Renewal Date,Insurance Renewal (CTP) Date,Expiry,Value,Transfer Fee
371RLI,Mitsubishi Triton,MMAENKA40BD006265,2025-03-25,2025-05-01,,48000,305.00
295RMK,Mazda BT-50,MM0UNY0W400891903,2025-03-06,2025-04-15,,52500,315.00
975SMU,Mitsubishi Triton,MMAJNKB40CD018749,2025-03-20,2025-04-25,,49200,305.00
